"asset","size_bytes","sha256","release_tag","edition"
"sc_26.parquet",33044254,"aa3bbbc98b02f30e71dd9cc824ca56985cb039e9f69dec2901880e125aa47641","sc-assets-v3",2022
"sc_27.parquet",21211593,"fec3158dda24d23c39754f8a257382dc13ee05a70bd6e5fd9980ab2cce245fc0","sc-assets-v3",2022
"sc_28.parquet",7979252,"901e5639b9abbae77aec7c66995c740ad19d810919634b805f16337e91e2840c","sc-assets-v3",2022
"sc_29.parquet",97801396,"67e665877f96f7eb4d26f5f17f9e20f129b05c810236fbef483af20df5cb3b3c","sc-assets-v3",2022
"sc_31.parquet",152761222,"98aa7a8f1328153b6bb6f1fdc06c009dfb391e2bff6ad9c33fdb282cd3c31c94","sc-assets-v3",2022
"sc_32.parquet",20986972,"42b81df85afe970b81411b804cf85de41686e6adf807794415eb657d29987823","sc-assets-v3",2022
"sc_33.parquet",48734420,"ef935585e65c8b81bc9a5acfcbf2aac8c30f2ce329d6e6bfe3e8720e39bead7b","sc-assets-v3",2022
"sc_35.parquet",123214190,"2cbf5023205a1c89cacbc00683614a5470aecdb24c272a2879219334986986f0","sc-assets-v3",2022
"sc_41.parquet",42740878,"37b30db5f66cb7984cab55dbd3d51403c17f35bd5bb32e6235d3db152324bb39","sc-assets-v3",2022
"sc_42.parquet",107585665,"f3b63851ee4f7d66840fac1c67e621d728bd9a601b4bdc5bb5cccce4f3e3d049","sc-assets-v3",2022
"sc_43.parquet",42219887,"662fec2afc95c306c86a47cb7825d6f0ccd4361f70e6cd6263f352a5c5259ee3","sc-assets-v3",2022
"sc_50.parquet",24572533,"8f09a5ed5d17887c323e8838e544e7ba2258e8f89245f27926bd7530b22913a2","sc-assets-v3",2022
"sc_51.parquet",38820823,"9fb8a2eb7e46707ec187d53c6581490ec2c3f0911b81e6b5f2bcec5df1a72024","sc-assets-v3",2022
"sc_52.parquet",92498159,"ac96075b7ea1db826390217dce7ed3db6a6858f54eb79a393b56770b58c04c5e","sc-assets-v3",2022
"sc_53.parquet",3748621,"e1a1ebbb70c69c5c6dd98e9ca5e2f49ab5a35497af91a64bf065b6ecc1f29861","sc-assets-v3",2022
