"block","fn","muni","code_muni","n_addresses","backend","h3_res","constrained","rep","elapsed_s","peak_rss_mb","own_cpu_s","other_cpu_s","n_rows","timestamp"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",9,FALSE,2,4.03,476.1,4.81,1.39,4529,"2026-09-18 18:33:51"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",9,FALSE,2,9.88,1794.6,10.19,6.23,4529,"2026-09-18 18:33:57"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",11,FALSE,2,35.32,1717.7,36.64,10.72,212914,"2026-09-18 18:34:08"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",11,FALSE,2,42.44,2758.2,43.39,15.52,212914,"2026-09-18 18:34:45"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,2,3.7,390.1,3.25,1.61,4064,"2026-09-18 18:35:29"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,2,4.38,597.7,3.88,1.63,4064,"2026-09-18 18:35:41"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,2,3.39,363.4,3.92,2.02,697,"2026-09-18 18:35:47"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","r",8,FALSE,2,9.03,1639.7,8.97,2.86,697,"2026-09-18 18:35:52"
"lumi","compute_lumi","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,2,5.58,603.3,11.47,2.25,2270,"2026-09-18 18:36:02"
"lumi","compute_lumi","Sao Paulo-SP",3550308,"~5.7M","r",8,FALSE,2,90.15,8630.7,96.62,53.2,2270,"2026-09-18 18:36:09"
"tracts","tracts_to_h3","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,2,9.69,685.5,10.03,4.12,27586,"2026-09-18 18:37:41"
"tracts","tracts_to_h3","Curitiba-PR",4106902,"~900k",NA,9,FALSE,2,6.79,625.5,12.31,2.61,4529,"2026-09-18 18:37:52"
"tracts","tracts_to_h3","Sao Paulo-SP",3550308,"~5.7M",NA,9,FALSE,2,15.44,1978,109.31,7.19,14938,"2026-09-18 18:38:01"
"tracts","tracts_to_polygon","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,2,7.13,818.5,7.89,2.22,27586,"2026-09-18 18:38:17"
"tracts","tracts_to_polygon","Curitiba-PR",4106902,"~900k",NA,9,FALSE,2,5.01,1106.2,10.53,1.69,4529,"2026-09-18 18:38:32"
"tracts","tracts_to_polygon","Sao Paulo-SP",3550308,"~5.7M",NA,9,FALSE,2,15.53,4380.5,102.73,6.02,14938,"2026-09-18 18:38:41"
"modest","cnefe_counts","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,TRUE,2,7.01,462.8,11.27,4.41,2270,"2026-09-18 18:39:03"
"modest","tracts_to_h3","Sao Paulo-SP",3550308,"~5.7M",NA,9,TRUE,2,20.93,1797.8,55.5,6.36,14938,"2026-09-18 18:39:11"
"cities","cnefe_counts","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,3,3.98,476.8,3.31,2.05,4064,"2026-09-18 18:39:34"
"cities","cnefe_counts","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,3,4.7,716.5,3.98,2.94,4064,"2026-09-18 18:39:39"
"cities","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,3,3.5,444.4,4.11,1.17,697,"2026-09-18 18:39:45"
"cities","cnefe_counts","Curitiba-PR",4106902,"~900k","r",8,FALSE,3,8.88,1758.7,9.5,3.12,697,"2026-09-18 18:39:50"
"cities","cnefe_counts","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,3,5.41,656.7,11.73,2.58,2270,"2026-09-18 18:40:01"
"cities","cnefe_counts","Sao Paulo-SP",3550308,"~5.7M","r",8,FALSE,3,92.78,9245.8,102.83,52.19,2270,"2026-09-18 18:40:07"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",7,FALSE,3,4.28,441,3.73,2.03,117,"2026-09-18 18:41:42"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",7,FALSE,3,9.89,1760.8,9.36,3.08,117,"2026-09-18 18:41:48"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",9,FALSE,3,4.37,478.2,4.64,1.39,4529,"2026-09-18 18:41:59"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",9,FALSE,3,9.92,1794.8,10.22,3.34,4529,"2026-09-18 18:42:05"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",11,FALSE,3,35.48,1721.1,37.23,9.78,212914,"2026-09-18 18:42:16"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",11,FALSE,3,41.73,2777.1,42.25,12.61,212914,"2026-09-18 18:42:53"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,3,4.38,390.5,3.2,1.27,4064,"2026-09-18 18:43:36"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,3,4.41,602.1,4.02,2.69,4064,"2026-09-18 18:43:42"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,3,3.25,353,3.66,2.34,697,"2026-09-18 18:43:48"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","r",8,FALSE,3,9.11,1639.7,8.89,2.88,697,"2026-09-18 18:43:53"
"lumi","compute_lumi","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,3,5.44,571.9,11.52,4.69,2270,"2026-09-18 18:44:03"
"lumi","compute_lumi","Sao Paulo-SP",3550308,"~5.7M","r",8,FALSE,3,90.61,8604.8,98.31,45.97,2270,"2026-09-18 18:44:10"
"tracts","tracts_to_h3","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,3,9.49,680.9,9.72,4.39,27586,"2026-09-18 18:45:43"
"tracts","tracts_to_h3","Curitiba-PR",4106902,"~900k",NA,9,FALSE,3,6.83,622.5,12.42,2.84,4529,"2026-09-18 18:45:54"
"tracts","tracts_to_h3","Sao Paulo-SP",3550308,"~5.7M",NA,9,FALSE,3,15.65,1980.8,110.3,7.11,14938,"2026-09-18 18:46:02"
"tracts","tracts_to_polygon","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,3,7.22,834.2,8.05,1.97,27586,"2026-09-18 18:46:19"
"tracts","tracts_to_polygon","Curitiba-PR",4106902,"~900k",NA,9,FALSE,3,5.25,1126.6,11.34,1.61,4529,"2026-09-18 18:46:34"
"tracts","tracts_to_polygon","Sao Paulo-SP",3550308,"~5.7M",NA,9,FALSE,3,15.2,4384.4,101.92,7.19,14938,"2026-09-18 18:46:54"
"modest","cnefe_counts","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,TRUE,3,6.81,459.1,11.2,2.63,2270,"2026-09-18 18:47:16"
"modest","tracts_to_h3","Sao Paulo-SP",3550308,"~5.7M",NA,9,TRUE,3,21.04,1791,54.92,8.89,14938,"2026-09-18 18:47:24"
"cities","cnefe_counts","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,4,3.61,467.6,2.97,2.23,4064,"2026-09-18 18:47:46"
"cities","cnefe_counts","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,4,4.5,710.9,3.95,5,4064,"2026-09-18 18:47:51"
"cities","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,4,3.53,444,4.11,1.73,697,"2026-09-18 18:47:57"
"cities","cnefe_counts","Curitiba-PR",4106902,"~900k","r",8,FALSE,4,9.18,1759.1,9.41,3.44,697,"2026-09-18 18:48:02"
"cities","cnefe_counts","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,4,5.42,722.9,11.66,2.66,2270,"2026-09-18 18:48:13"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",7,FALSE,4,3.55,440.4,3.69,1.48,117,"2026-09-18 18:48:20"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",7,FALSE,4,9.13,1760.4,9.62,2.91,117,"2026-09-18 18:48:25"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",9,FALSE,4,3.96,475.1,4.62,1.45,4529,"2026-09-18 18:48:35"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",9,FALSE,4,9.54,1794.4,9.67,4,4529,"2026-09-18 18:48:41"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",11,FALSE,4,35.83,1872.9,36.67,14.34,212914,"2026-09-18 18:48:52"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",11,FALSE,4,41.77,2746.9,42.59,12.58,212914,"2026-09-18 18:49:29"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,4,5.08,390.6,3.75,2.16,4064,"2026-09-18 18:50:12"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,4,4.47,599.7,4.06,1.31,4064,"2026-09-18 18:50:19"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,4,3.5,359.4,3.7,1.52,697,"2026-09-18 18:50:25"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","r",8,FALSE,4,9.26,1643.7,8.72,3.92,697,"2026-09-18 18:50:30"
"lumi","compute_lumi","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,4,5.25,601.7,11.42,3.5,2270,"2026-09-18 18:50:41"
"tracts","tracts_to_h3","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,4,9.77,688.5,10.64,3.11,27586,"2026-09-18 18:50:48"
"tracts","tracts_to_h3","Curitiba-PR",4106902,"~900k",NA,9,FALSE,4,6.91,614.9,12.56,3.09,4529,"2026-09-18 18:50:59"
"tracts","tracts_to_polygon","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,4,7.27,821.2,8.19,2.27,27586,"2026-09-18 18:51:07"
"tracts","tracts_to_polygon","Curitiba-PR",4106902,"~900k",NA,9,FALSE,4,4.85,1136.8,10.56,1.61,4529,"2026-09-18 18:51:22"
"cities","cnefe_counts","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,5,3.85,466.6,3.7,1.53,4064,"2026-09-18 18:51:32"
"cities","cnefe_counts","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,5,4.8,705.2,4.2,2.02,4064,"2026-09-18 18:51:37"
"cities","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,5,3.63,445.4,3.84,1.84,697,"2026-09-18 18:51:44"
"cities","cnefe_counts","Curitiba-PR",4106902,"~900k","r",8,FALSE,5,9.34,1761.9,9.34,2.78,697,"2026-09-18 18:51:49"
"cities","cnefe_counts","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,5,5.58,692.2,11.55,2.73,2270,"2026-09-18 18:52:00"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",7,FALSE,5,3.46,441.3,3.73,1.14,117,"2026-09-18 18:52:07"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",7,FALSE,5,9.25,1763.9,9.34,2.94,117,"2026-09-18 18:52:11"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",9,FALSE,5,4.14,476.2,4.5,1.5,4529,"2026-09-18 18:52:22"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",9,FALSE,5,9.71,1803,10.12,3.3,4529,"2026-09-18 18:52:28"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",11,FALSE,5,35.65,1764,37.2,10.14,212914,"2026-09-18 18:52:39"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",11,FALSE,5,41.62,2769.6,42.61,49.98,212914,"2026-09-18 18:53:16"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,5,4.87,390.6,3.7,3.3,4064,"2026-09-18 18:53:59"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,5,4.62,601.5,4.39,1.94,4064,"2026-09-18 18:54:06"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,5,3.64,359.7,4,1.7,697,"2026-09-18 18:54:12"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","r",8,FALSE,5,9.46,1640.1,9.2,3.39,697,"2026-09-18 18:54:17"
"lumi","compute_lumi","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,5,5.89,570,12.39,3.27,2270,"2026-09-18 18:54:28"
"tracts","tracts_to_h3","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,5,10.2,679.3,10.36,3.77,27586,"2026-09-18 18:54:36"
"tracts","tracts_to_h3","Curitiba-PR",4106902,"~900k",NA,9,FALSE,5,7.28,622.2,12.64,3.09,4529,"2026-09-18 18:54:48"
"tracts","tracts_to_polygon","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,5,7.58,820,8.42,2.52,27586,"2026-09-18 18:54:57"
"tracts","tracts_to_polygon","Curitiba-PR",4106902,"~900k",NA,9,FALSE,5,5.29,1118,10.81,2.5,4529,"2026-09-18 18:55:12"
